title,GENRE,genre/SUB,LANGUAGE,language/SUB,imdb_score,premiere,runtime,year
Notes for My Son,Drama,Drama_SPECIFIC,Spanish,Spanish,6.3,11/24/2020,83,2020
"To Each, Her Own",Romance,Romantic comedy,French_SPECIFIC,French,5.3,6/24/2018,95,2018
The Lovebirds,Romance,Romantic comedy,English,English_SPECIFIC,6.1,5/22/2020,87,2020
The Perfection,Horror,Horror-thriller,English,English_SPECIFIC,6.1,5/24/2019,90,2019
Happy Anniversary,Romance,Romantic comedy,English,English_SPECIFIC,5.8,3/30/2018,78,2018
Why Did You Kill Me?,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.6,4/14/2021,83,2021
Death to 2020,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.8,12/27/2020,70,2020
Brene Brown: The Call to Courage,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.7,4/19/2019,76,2019
Operation Christmas Drop,Romance,Romantic comedy,English,English_SPECIFIC,5.8,11-05-2020,96,2020
The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Comedy,Comedy / Musical,English,English_SPECIFIC,6.9,5/23/2019,30,2019
Porta dos Fundos: The First Temptation of Christ,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,4.6,12-03-2019,46,2019
El Pepe: A Supreme Life,Documentary,Documentary_SPECIFIC,Spanish,Spanish,7.1,12/27/2019,73,2019
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,Documentary_SPECIFIC,English,English/Mandarin,7.3,10/14/2016,79,2016
"Out of Many, One",Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,5.7,12-12-2018,34,2018
If Anything Happens I Love You,Animation,Animation / Short,English,English_SPECIFIC,7.8,11/20/2020,12,2020
Polar,ACTION,Action_ONLY,English,English_SPECIFIC,6.3,1/25/2019,118,2019
Shimmer Lake,Crime ,Crime thriller,English,English_SPECIFIC,6.3,06-09-2017,86,2017
In the Tall Grass,Horror,Horror_SPECIFIC,English,English_SPECIFIC,5.4,10-04-2019,101,2019
Pieces of a Woman,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.1,01-07-2021,126,2021
The Knight Before Christmas,Romance,Romantic comedy,English,English_SPECIFIC,5.5,11/21/2019,92,2019
Unicorn Store,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.5,04-05-2019,92,2019
Our Souls at Night,Romance,Romance_SPECIFIC,English,English_SPECIFIC,6.9,9/29/2017,103,2017
Birders,Documentary,Documentary_SPECIFIC,English,English/Spanish,6.4,9/25/2019,37,2019
Christmas Crossfire,Thriller,Thriller_SPECIFIC,German,German,4.8,12-04-2020,106,2020
Shawn Mendes: In Wonder,Documentary,Documentary_SPECIFIC,German,English_SPECIFIC,6.6,11/23/2020,83,2020
"Game Over, Man!",ACTION,Action/Comedy,German,English_SPECIFIC,5.4,3/23/2018,101,2018
Icarus,Documentary,Documentary_SPECIFIC,German,English_SPECIFIC,7.9,08-04-2017,120,2017
Forgive Us Our Debts,Drama,Drama_SPECIFIC,Italian,Italian,6,05-04-2018,104,2018
Clinical,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,5.1,1/13/2017,104,2017
Crazy About Her,Romance,Romantic comedy,Spanish,Spanish,6.6,2/26/2021,102,2021
Night in Paradise,Drama,Drama_SPECIFIC,Korean,Korean,6.7,04-09-2021,132,2021
Parchis: The Documentary,Documentary,Documentary_SPECIFIC,Spanish,Spanish,6.7,07-10-2019,106,2019
The Siege of Jadotville,War,War_SPECIFIC,English,English_SPECIFIC,7.2,10-07-2016,108,2016
I Am All Girls,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,5.8,5/14/2021,107,2021
Fyre: The Greatest Party That Never Happened,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.2,1/18/2019,97,2019
In the Shadow of the Moon,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,6.2,9/27/2019,115,2019
Secret Obsession,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,4.4,7/18/2019,97,2019
Apostle,Horror,Horror-thriller,English,English_SPECIFIC,6.3,10-12-2018,129,2018
The Polka King,Comedy,Comedy-drama,English,English_SPECIFIC,5.9,01-12-2018,95,2018
American Factory,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.4,8/21/2019,110,2019
Sentinelle,ACTION,Action_ONLY,French_SPECIFIC,French,4.7,03-05-2021,80,2021
Paradox,Musical,Musical/Western/Fantasy,English,English_SPECIFIC,3.9,3/23/2018,73,2018
Coin Heist,Heist_,Heist_,English,English_SPECIFIC,4.8,01-06-2017,97,2017
A California Christmas,Romance,Romantic comedy,English,English_SPECIFIC,5.8,12/14/2020,107,2020
Tall Girl,Comedy,Comedy-drama,English,English_SPECIFIC,5.2,9/13/2019,102,2019
Uncorked,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.3,3/27/2020,103,2020
Outside the Wire,ACTION,Action/Science fiction,English,English_SPECIFIC,5.4,1/15/2021,114,2021
El Camino Christmas,comedy,Dark comedy,English,English_SPECIFIC,5.7,12-08-2017,89,2017
The Beast,Drama,Drama_SPECIFIC,Italian,Italian,5.2,11/27/2020,99,2020
The Trial of the Chicago 7,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.8,10/16/2020,130,2020
The American Meme,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,12-07-2018,98,2018
The White Tiger,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7.1,1/22/2021,125,2021
Holiday Rush,Family,Family film,English,English_SPECIFIC,4.9,11/28/2019,94,2019
The Paramedic,Thriller,Thriller_SPECIFIC,Spanish,Spanish,5.6,9/16/2020,94,2020
Irreplaceable You,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.4,2/16/2018,96,2018
The Princess Switch,Romance,Romantic comedy,English,English_SPECIFIC,6,11/16/2018,101,2018
House Arrest,Comedy,Comedy_SPECIFIC,Hindi,Hindi,5.5,11/15/2019,104,2019
Yeh Ballet,Drama,Drama_SPECIFIC,Hindi,Hindi,7.6,2/21/2020,117,2020
The Other One: The Long Strange Trip of Bob Weir,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.3,5/22/2015,83,2015
Imperial Dreams,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.7,02-03-2017,87,2017
ReMastered: Who Killed Jam Master Jay?,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,12-07-2018,58,2018
Seeing Allred,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.9,02-09-2018,95,2018
Sand Castle,War,War_SPECIFIC,English,English_SPECIFIC,6.3,4/21/2017,113,2017
Caught by a Wave,Romance,Romantic teen drama,Italian,Italian,5.7,3/25/2021,99,2021
Ginny Weds Sunny,Romance,Romantic comedy,Hindi,Hindi,5.7,10-09-2020,125,2020
Dance Dreams: Hot Chocolate Nutcracker,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,11/27/2020,80,2020
What Would Sophia Loren Do?,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.6,1/15/2021,32,2021
The Main Event,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,4.8,04-10-2020,101,2020
I'm No Longer Here,Drama,Drama_SPECIFIC,Spanish,Spanish,7.3,5/27/2020,105,2020
Blackpink: Light Up the Sky,Documentary,Documentary_SPECIFIC,Korean,Korean,7.5,10/14/2020,79,2020
Chopsticks,Comedy,Comedy_SPECIFIC,Hindi,Hindi,6.5,5/31/2019,100,2019
Circus of Books,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,4/22/2020,92,2020
The Legend of Cocaine Island,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.3,3/29/2019,87,2019
Ma Rainey's Black Bottom,Drama,Drama_SPECIFIC,English,English_SPECIFIC,7,12/18/2020,94,2020
Elisa & Marcela,Romance,Romance_SPECIFIC,Spanish,Spanish,6.6,06-07-2019,118,2019
Seriously Single,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,4.5,7/31/2020,107,2020
The Call,Drama,Drama_SPECIFIC,Korean,Korean,4.1,11/27/2020,112,2020
Angela's Christmas,Animation,Animation_ONLY,English,English_SPECIFIC,7.1,11/30/2018,30,2018
Get the Goat,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,6.3,3/18/2021,97,2021
What Did Jack Do?,Drama,Drama / Short,English,English_SPECIFIC,6.5,1/20/2020,17,2020
When We First Met,Romance,Romantic comedy,English,English_SPECIFIC,6.4,02-09-2018,97,2018
Alex Strangelove,Romance,Romantic comedy,English,English_SPECIFIC,6.3,06-08-2018,99,2018
The Mars Generation,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,05-05-2017,97,2017
Bulbbul,Horror,Horror_SPECIFIC,Hindi,Hindi,6.6,6/24/2020,94,2020
The Great Hack,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,7/24/2019,114,2019
How It Ends,ACTION,Action-thriller,English,English_SPECIFIC,5,7/13/2018,113,2018
The Incredible Jessica James,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.5,7/28/2017,83,2017
The Forest of Love,Drama,Drama_SPECIFIC,Japanese,Japanese,6.3,10-11-2019,151,2019
Canvas ,Animation,Animation / Short,English,English_SPECIFIC,6.5,12-11-2020,9,2020
